[16: 54: 59] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.605 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[16: 54: 59] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.616 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[16: 54: 59] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.663 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[16: 54: 59] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.589 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[16: 54: 59] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/update_finger HTTP/1.1 [status]: 200 [response-time]: 6.679 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[16: 54: 59] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 200 [response-time]: 0.646 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[16: 54: 59] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.618 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[16: 54: 59] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 2.096 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[17: 16: 23] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 8.052 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[17: 23: 30] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 4.209 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[17: 23: 30] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.867 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[17: 23: 30] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/pos/user_using HTTP/1.1 [status]: 200 [response-time]: 2.470 ms [client]: PostmanRuntime/7.19.0
[17: 23: 30] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.635 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[17: 36: 27] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 4.285 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[17: 36: 27] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.767 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[17: 36: 27] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 0.725 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[17: 36: 27] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_using HTTP/1.1 [status]: 404 [response-time]: 0.788 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[17: 38: 48] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 4.198 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[17: 38: 48] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_using HTTP/1.1 [status]: 200 [response-time]: 4.791 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[17: 47: 57] [ip]: ::ffff:192.168.1.43 - [method]: GET [url]: /api/v1/pos/show_user HTTP/1.1 [status]: 304 [response-time]: 3.903 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[17: 47: 57] [ip]: ::ffff:192.168.1.43 - [method]: POST [url]: /api/v1/pos/user_using HTTP/1.1 [status]: 200 [response-time]: 3.887 ms [client]: Dalvik/2.1.0 (Linux; U; Android 7.0; CS10C Build/NRD90M)
[17: 55: 29] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/pos/user_using HTTP/1.1 [status]: 404 [response-time]: 1.244 ms [client]: PostmanRuntime/7.19.0
