[10: 30: 39] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/user_valid HTTP/1.1 [status]: 200 [response-time]: 2.706 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36
[10: 30: 39] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/user/user_valid HTTP/1.1 [status]: 200 [response-time]: 350.249 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36
[10: 30: 39] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/user/user_valid HTTP/1.1 [status]: 200 [response-time]: 0.211 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36
[10: 30: 39] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/get_slip HTTP/1.1 [status]: 200 [response-time]: 0.913 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36
[10: 30: 39] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/user/user_valid HTTP/1.1 [status]: 304 [response-time]: 349.315 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36
[10: 30: 39] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/get_slip HTTP/1.1 [status]: 304 [response-time]: 647.389 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36
[10: 30: 39] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/get_detail_slip HTTP/1.1 [status]: 200 [response-time]: 0.255 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36
[10: 30: 39] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/get_slip_product HTTP/1.1 [status]: 200 [response-time]: 0.259 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36
[10: 30: 39] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/get_product HTTP/1.1 [status]: 200 [response-time]: 0.185 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36
[10: 30: 39] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/product/get_detail_slip HTTP/1.1 [status]: 200 [response-time]: 342.711 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36
[10: 30: 39] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/product/get_slip_product HTTP/1.1 [status]: 200 [response-time]: 665.566 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.97 Safari/537.36
