[18: 17: 58] [ip]: ::ffff:10.94.8.38 - [method]: OPTIONS [url]: /api/v1/product/get_product HTTP/1.1 [status]: 200 [response-time]: 6.908 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[18: 17: 58] [ip]: ::ffff:10.94.8.38 - [method]: GET [url]: /api/v1/product/get_product HTTP/1.1 [status]: 200 [response-time]: 16.965 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[18: 17: 58] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/get_product HTTP/1.1 [status]: 200 [response-time]: 0.228 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[18: 17: 58] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/get_product HTTP/1.1 [status]: 304 [response-time]: 5.429 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[18: 17: 58] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/get_product HTTP/1.1 [status]: 304 [response-time]: 0.806 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[18: 17: 58] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/image/product_002.png HTTP/1.1 [status]: 304 [response-time]: 55.657 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[18: 17: 58] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/image/product_003.png HTTP/1.1 [status]: 304 [response-time]: 56.405 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[18: 17: 58] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/image/product_001.png HTTP/1.1 [status]: 304 [response-time]: 57.712 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[18: 17: 58] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/image/product_004.png HTTP/1.1 [status]: 304 [response-time]: 67.620 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[18: 17: 58] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/image/product_005.png HTTP/1.1 [status]: 304 [response-time]: 32.582 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[18: 17: 58] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/image/product_007.png HTTP/1.1 [status]: 304 [response-time]: 28.524 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[18: 17: 58] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/image/product_000.png HTTP/1.1 [status]: 200 [response-time]: 137.791 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[18: 17: 58] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/image/product_0009.png HTTP/1.1 [status]: 200 [response-time]: 146.429 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[18: 17: 58] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/image/product_006.png HTTP/1.1 [status]: 304 [response-time]: 74.124 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[18: 17: 58] [ip]: ::ffff:10.94.8.38 - [method]: OPTIONS [url]: /api/v1/product/get_product HTTP/1.1 [status]: 200 [response-time]: 0.148 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[18: 17: 58] [ip]: ::ffff:10.94.8.38 - [method]: GET [url]: /api/v1/product/get_product HTTP/1.1 [status]: 304 [response-time]: 1.367 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[18: 17: 58] [ip]: ::ffff:10.94.8.38 - [method]: OPTIONS [url]: /api/v1/product/get_product HTTP/1.1 [status]: 200 [response-time]: 0.156 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
