[01: 36: 08] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/check_personal_id HTTP/1.1 [status]: 200 [response-time]: 0.170 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 36: 08] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/get_course_sell HTTP/1.1 [status]: 304 [response-time]: 303.435 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 36: 08] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/product/check_personal_id HTTP/1.1 [status]: 200 [response-time]: 578.670 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 36: 08] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/get_course_sell HTTP/1.1 [status]: 200 [response-time]: 0.257 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 36: 08] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/check_personal_id HTTP/1.1 [status]: 200 [response-time]: 0.201 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 36: 08] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/product/check_personal_id HTTP/1.1 [status]: 200 [response-time]: 344.645 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 36: 08] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/get_course_sell HTTP/1.1 [status]: 304 [response-time]: 674.866 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 36: 08] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/get_course_sell HTTP/1.1 [status]: 200 [response-time]: 0.175 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 36: 08] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/product/get_course_sell HTTP/1.1 [status]: 304 [response-time]: 293.462 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 36: 08] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/check_personal_id HTTP/1.1 [status]: 200 [response-time]: 0.115 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 36: 08] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/product/check_personal_id HTTP/1.1 [status]: 200 [response-time]: 294.960 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 36: 08] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/product/check_personal_id HTTP/1.1 [status]: 200 [response-time]: 544.245 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
[01: 41: 54] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/product/get_course_sell HTTP/1.1 [status]: 200 [response-time]: 4.993 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36
